stock,date,open,close,sentiment_score
vz,2017-03-21,38.7386,38.4939,0.0
vz,2017-03-22,38.4696,38.1491,0.9999896287918092
vz,2017-03-23,38.1792,38.0947,0.0
vz,2017-03-29,37.8179,37.7023,0.0
vz,2017-03-30,37.6033,37.6499,0.0
vz,2017-03-31,37.681,37.4119,0.0
vz,2017-04-01,37.3963,37.7421,0.0
vz,2017-04-03,37.3963,37.7421,0.9094884991645812
vz,2017-04-04,37.681,37.8431,0.9999996423721312
vz,2017-04-06,37.679,37.6081,0.0
vz,2017-04-07,37.6489,37.7878,0.0
vz,2017-04-10,37.8354,37.6926,0.0
vz,2017-04-11,37.6732,37.8188,0.0
vz,2017-04-12,37.6858,37.9927,0.0
vz,2017-04-13,37.8965,37.7577,0.9733086824417114
vz,2017-04-14,37.8023,37.9063,0.0
vz,2017-04-17,37.8023,37.9063,0.0
vz,2017-04-18,37.7577,38.2228,0.9999997615814208
vz,2017-04-19,38.3947,38.0053,0.9999998807907104
vz,2017-04-20,37.2137,37.5935,-0.09628504514694214
vz,2017-04-22,36.599,36.5358,0.0
vz,2017-04-24,36.599,36.5358,0.0
vz,2017-04-25,36.4679,36.2649,0.8809043765068054
vz,2017-04-26,36.3066,36.7777,0.9999982118606568
vz,2017-04-27,36.7777,36.2434,0.0
vz,2017-04-29,35.7685,35.6287,0.0
vz,2017-05-01,35.7685,35.6287,0.0
vz,2017-05-02,35.7229,35.653,0.0
vz,2017-05-04,35.8618,35.6287,0.0
vz,2017-05-05,35.7841,36.2581,0.9999868869781494
vz,2017-05-08,36.2794,36.2105,-0.19602502584457399
vz,2017-05-09,36.1259,36.0473,0.0
vz,2017-05-10,36.0327,36.0163,0.0
vz,2017-05-11,35.9637,35.7394,0.31655879815419513
vz,2017-05-15,35.653,35.2412,0.0
vz,2017-05-16,35.2101,35.1858,0.0
vz,2017-05-18,34.5554,34.9761,0.0
vz,2017-05-22,35.247,35.3189,0.0
vz,2017-05-23,35.3189,35.3189,0.0
vz,2017-05-24,35.2946,34.9761,0.7570861876010895
vz,2017-05-31,36.056,36.2193,0.0
vz,2017-06-01,36.2717,36.1182,0.8629193603992462
vz,2017-06-05,35.853,36.0094,0.0
vz,2017-06-07,36.1259,36.1095,0.0
vz,2017-06-08,36.1095,35.8705,0.0
vz,2017-06-09,35.853,36.2794,0.0
vz,2017-06-13,36.732,36.0793,0.9879915118217468
vz,2017-06-14,36.2105,36.2581,0.0
vz,2017-06-15,36.1726,36.2193,0.0
vz,2017-06-19,36.2105,36.1658,0.0
vz,2017-06-20,36.0327,35.6743,0.0
vz,2017-06-21,35.6821,35.2635,0.0
vz,2017-06-22,35.3111,35.2733,0.9956979751586914
vz,2017-06-26,35.2946,35.5287,0.0
vz,2017-06-27,34.9226,34.8216,0.0
vz,2017-06-30,34.6497,34.6837,-0.7059075832366943
vz,2017-07-06,34.5972,34.2418,0.0
vz,2017-07-10,34.2088,33.9893,1.0
vz,2017-07-12,33.863,34.0058,0.0
vz,2017-07-13,33.9504,34.2146,0.0
vz,2017-07-14,34.3273,34.2729,0.0
vz,2017-07-18,34.3515,34.1174,0.0
vz,2017-07-19,34.1088,34.1855,0.0
vz,2017-07-20,34.2243,34.7915,0.9996919631958008
vz,2017-07-21,34.8002,34.8002,0.0
vz,2017-07-24,34.7371,34.3894,0.9999996423721312
vz,2017-07-25,34.539,34.605,0.31763412555058784
vz,2017-07-27,36.397,37.6149,-0.20681828260421753
vz,2017-07-28,37.5284,37.7198,-0.9391949772834778
vz,2017-07-31,37.6489,38.082,0.9997536242008209
vz,2017-08-01,38.3015,38.4657,1.0
vz,2017-08-02,38.4734,37.9306,0.8004388809204102
vz,2017-08-03,37.8382,38.2461,0.0
vz,2017-08-04,38.1364,38.4822,0.0
vz,2017-08-07,38.388,38.4414,0.0
vz,2017-08-08,38.3549,38.2394,0.0
vz,2017-08-15,38.2053,38.1442,0.0
vz,2017-08-16,38.0577,38.0869,0.0
vz,2017-08-21,37.6314,37.8752,0.9999997615814208
vz,2017-08-22,37.8674,38.0403,0.9527466893196106
vz,2017-08-23,37.9694,37.9878,0.9828452467918396
vz,2017-08-24,38.0403,38.0092,0.9999947547912598
vz,2017-08-28,38.2754,38.2461,0.5303396582603455
vz,2017-08-30,38.0238,37.8596,0.0
vz,2017-08-31,37.9694,37.7421,0.0663736760616302
vz,2017-09-01,37.782,37.7023,0.0
vz,2017-09-05,37.5925,37.2613,0.0
vz,2017-09-06,37.3487,36.9087,0.8945303559303284
vz,2017-09-07,36.9787,36.3484,0.9928272366523744
vz,2017-09-08,36.3328,36.2765,0.0
vz,2017-09-12,36.5854,36.8136,0.9999985694885254
vz,2017-09-13,36.8049,37.1759,0.0
vz,2017-09-14,37.1671,37.1215,0.0
vz,2017-09-15,37.3099,37.6567,0.0
vz,2017-09-18,37.6935,37.8382,0.0
vz,2017-09-20,38.7881,38.929,0.0
vz,2017-09-22,38.7017,39.2602,-0.9993197917938232
vz,2017-09-25,39.2369,39.2602,0.0
vz,2017-09-26,39.3068,38.9542,0.913087785243988
vz,2017-09-27,38.7017,38.9542,0.0
vz,2017-09-28,38.7405,38.8756,0.0
vz,2017-09-29,38.7881,38.9387,0.0
vz,2017-10-03,38.9066,39.2213,0.0
vz,2017-10-04,39.0562,39.2602,0.0
vz,2017-10-05,39.3068,39.1572,0.9842600226402284
vz,2017-10-10,39.2378,39.1261,0.0
vz,2017-10-11,39.1261,38.9047,0.0
vz,2017-10-13,38.489,38.1063,0.9699491262435912
vz,2017-10-16,38.1393,38.2899,0.0
vz,2017-10-17,38.2899,38.5366,0.96831077337265
vz,2017-10-18,38.4822,38.7367,0.0
vz,2017-10-19,39.8506,39.1824,0.33250192801157624
vz,2017-10-23,39.3883,39.0057,0.9964078068733216
vz,2017-10-24,39.1427,38.9678,2.980232238769531e-07
vz,2017-10-25,38.76,38.727,-0.9986678957939148
vz,2017-10-26,38.9047,38.926,0.0
vz,2017-10-29,38.1714,38.1141,0.9999995231628418
vz,2017-10-30,38.9678,38.085,0.9850867986679076
vz,2017-10-31,38.1714,38.1141,0.0
vz,2017-11-02,38.1228,37.7887,0.0
vz,2017-11-05,35.9988,36.2833,0.0
vz,2017-11-06,36.8748,36.2522,0.2698611617088318
vz,2017-11-07,35.9988,36.2833,0.0
vz,2017-11-08,36.1571,36.195,-0.5470035672187805
vz,2017-11-09,36.0619,35.8851,0.0
vz,2017-11-10,35.9181,35.7355,0.0
vz,2017-11-13,35.7657,35.6316,0.0
vz,2017-11-15,35.2966,35.1217,0.0
vz,2017-11-16,35.2014,35.6472,0.0
vz,2017-11-17,35.5355,36.1658,-0.2494526902834574
vz,2017-11-18,36.4669,36.7864,0.0
vz,2017-11-20,36.4669,36.7864,0.8873824775218964
vz,2017-11-21,36.8971,36.7679,0.0
vz,2017-11-22,36.8262,37.5022,0.9999998807907104
vz,2017-11-23,37.4711,37.4304,0.9999690055847168
vz,2017-11-27,37.7178,37.9471,0.0
